127.0.0.1 - - [05/Dec/2023:21:24:54 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:24:55 +0530] "GET /signup_login_page/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:24:58 +0530] "GET /signup_login_page/login.jsp HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:24:58 +0530] "GET /signup_login_page/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:24:58 +0530] "GET /signup_login_page/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:24:58 +0530] "GET /signup_login_page/images/signin-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:24:58 +0530] "GET /signup_login_page/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:24:58 +0530] "GET /signup_login_page/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:24:58 +0530] "GET /signup_login_page/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:24:58 +0530] "GET /signup_login_page/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:24:58 +0530] "GET /signup_login_page/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:24:59 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:25:02 +0530] "GET /signup_login_page/registration.jsp HTTP/1.1" 200 3328
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:25:02 +0530] "GET /signup_login_page/alert/dist/sweetalert.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:25:02 +0530] "GET /signup_login_page/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:25:02 +0530] "GET /signup_login_page/images/signup-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:26:03 +0530] "POST /signup_login_page/register HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:26:04 +0530] "GET /signup_login_page/alert/dist/sweetalert.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:26:04 +0530] "GET /signup_login_page/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:39:25 +0530] "GET /signup_login_page/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:39:25 +0530] "GET /signup_login_page/login.jsp HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:39:25 +0530] "GET /signup_login_page/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:39:28 +0530] "GET /signup_login_page/registration.jsp HTTP/1.1" 200 3762
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:39:28 +0530] "GET /signup_login_page/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:39:28 +0530] "GET /signup_login_page/alert/dist/sweetalert.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:40:35 +0530] "GET /signup_login_page/alert/dist/sweetalert.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:40:36 +0530] "GET /signup_login_page/css/style.css.map HTTP/1.1" 200 10555
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:42:54 +0530] "GET /signup_login_page/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:42:54 +0530] "GET /signup_login_page/login.jsp HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:42:54 +0530] "GET /signup_login_page/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:42:55 +0530] "GET /signup_login_page/registration.jsp HTTP/1.1" 200 3769
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:42:55 +0530] "GET /signup_login_page/alert/dist/sweetalert.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:42:55 +0530] "GET /signup_login_page/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:43:01 +0530] "POST /signup_login_page/register HTTP/1.1" 200 3772
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:43:01 +0530] "GET /signup_login_page/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:43:01 +0530] "GET /signup_login_page/alert/dist/sweetalert.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:43:44 +0530] "POST /signup_login_page/register HTTP/1.1" 200 3772
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:43:44 +0530] "GET /signup_login_page/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:43:44 +0530] "GET /signup_login_page/alert/dist/sweetalert.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:45:30 +0530] "GET /signup_login_page/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:45:30 +0530] "GET /signup_login_page/login.jsp HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:45:30 +0530] "GET /signup_login_page/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:45:33 +0530] "GET /signup_login_page/registration.jsp HTTP/1.1" 200 3811
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:45:33 +0530] "GET /signup_login_page/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:45:59 +0530] "POST /signup_login_page/register HTTP/1.1" 200 3814
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:45:59 +0530] "GET /signup_login_page/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:46:13 +0530] "POST /signup_login_page/register HTTP/1.1" 200 3814
0:0:0:0:0:0:0:1 - - [05/Dec/2023:21:46:13 +0530] "GET /signup_login_page/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Dec/2023:23:26:05 +0530] "GET /signup_login_page/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:23:26:05 +0530] "GET /signup_login_page/login.jsp HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [05/Dec/2023:23:26:05 +0530] "GET /signup_login_page/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Dec/2023:23:26:09 +0530] "GET /signup_login_page/registration.jsp HTTP/1.1" 200 3824
0:0:0:0:0:0:0:1 - - [05/Dec/2023:23:26:09 +0530] "GET /signup_login_page/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Dec/2023:23:27:08 +0530] "POST /signup_login_page/register HTTP/1.1" 200 3827
0:0:0:0:0:0:0:1 - - [05/Dec/2023:23:27:08 +0530] "GET /signup_login_page/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
